date,avgTemp
2022-08-12,2.56
2022-08-13,2.31
2022-08-14,2.4
2022-08-15,2.43
2022-08-16,2.3600000000000003
2022-08-17,2.3600000000000003
2022-08-18,2.41
2022-08-19,2.63
2022-08-20,2.79
2022-08-21,2.5300000000000002
2022-08-22,2.45
2022-08-23,2.59
2022-08-24,2.69
2022-08-25,2.81
2022-08-26,2.7399999999999998
2022-08-27,2.7800000000000002
2022-08-28,2.46
2022-08-29,2.6
2022-08-30,2.68
2022-08-31,2.56
2022-09-01,2.59
2022-09-02,2.17
2022-09-03,2.2800000000000002
2022-09-04,2.5300000000000002
2022-09-05,2.58
2022-09-06,2.33
2022-09-07,2.08
2022-09-08,2.18
2022-09-09,2.19
2022-09-10,2.3600000000000003
2022-09-11,2.32
2022-09-12,2.2399999999999998
2022-09-13,2.4699999999999998
2022-09-14,2.29
2022-09-15,2.18
2022-09-16,1.9600000000000002
2022-09-17,2.08
2022-09-18,2.34
2022-09-19,2.56
2022-09-20,2.32
2022-09-21,2.2
2022-09-22,2.18
2022-09-23,1.51
2022-09-24,1.45
2022-09-25,1.92
2022-09-26,1.94
2022-09-27,1.97
2022-09-28,1.72
2022-09-29,1.6600000000000001
2022-09-30,1.45
2022-10-01,1.48
2022-10-02,1.52
2022-10-03,1.15
2022-10-04,1.03
2022-10-05,1.3800000000000001
2022-10-06,1.7600000000000002
2022-10-07,2.0300000000000002
2022-10-08,1.3900000000000001
2022-10-09,1.23
2022-10-10,1.58
2022-10-11,1.7
2022-10-12,1.7899999999999998
2022-10-13,1.8699999999999999
2022-10-14,1.5699999999999998
2022-10-15,1.6199999999999999
2022-10-16,1.61
2022-10-17,1.6600000000000001
2022-10-18,1.26
2022-10-19,1.0
2022-10-20,1.1099999999999999
2022-10-21,1.34
2022-10-22,1.44
2022-10-23,1.47
2022-10-24,1.41
2022-10-25,1.69
2022-10-26,1.83
2022-10-27,1.69
2022-10-28,1.1300000000000001
2022-10-29,1.08
2022-10-30,1.25
2022-10-31,1.44
2022-11-01,1.69
2022-11-02,1.7600000000000002
2022-11-03,1.5699999999999998
2022-11-04,1.52
2022-11-05,1.94
2022-11-06,1.98
2022-11-07,2.13
2022-11-08,1.3199999999999998
2022-11-09,0.8699999999999999
2022-11-10,1.26
2022-11-11,1.64
2022-11-12,1.97
2022-11-13,1.29
2022-11-14,0.63
2022-11-15,0.49000000000000005
2022-11-16,0.73
2022-11-17,0.5700000000000001
2022-11-18,0.45
2022-11-19,0.27999999999999997
2022-11-20,0.27
2022-11-21,0.11000000000000001
2022-11-22,0.6599999999999999
2022-11-23,0.9400000000000001
2022-11-24,0.8099999999999999
2022-11-25,1.0
2022-11-26,0.93
2022-11-27,1.0699999999999998
2022-11-28,1.22
2022-11-29,0.54
2022-11-30,0.8400000000000001
2022-12-01,0.5700000000000001
2022-12-02,0.33999999999999997
2022-12-03,1.06
2022-12-04,0.7
2022-12-05,0.54
2022-12-06,0.93
2022-12-07,1.3800000000000001
2022-12-08,1.16
2022-12-09,0.53
2022-12-10,0.22000000000000003
2022-12-11,0.33999999999999997
2022-12-12,0.16
2022-12-13,0.03
2022-12-14,0.16999999999999998
2022-12-15,0.27
2022-12-16,0.62
2022-12-17,0.5
2022-12-18,0.31
2022-12-19,0.16999999999999998
2022-12-20,0.19
2022-12-21,0.1
2022-12-22,0.38
2022-12-23,0.75
2022-12-24,-1.17
2022-12-25,-0.6900000000000001
2022-12-26,-0.47000000000000003
2022-12-27,-0.06999999999999999
2022-12-28,0.33999999999999997
2022-12-29,0.64
2022-12-30,0.93
2022-12-31,0.82
